Generator,eff_base_only,eff_with_incr
NNSW OCGT Small,1.323659513352528,0.3532794708979026
NPS,4.671426764031311,0.3499999999902778
NQ Biomass,2.71356783919598,0.2072542837349525
NQ CCGT,3.7741497909914603,0.4966026027723539
NQ CCGT with CCS,3.7741497909914603,0.4016441879311814
NQ H2 Reciprocating Engine,1.0,0.3076108039750152
NQ OCGT Large,1.3236592434912804,0.3293315522272893
NQ OCGT Small,1.323659513352528,0.3532794708979026
NQ2_Augmentation 1,1.0,1.0
NQ2_Augmentation 2,1.0,1.0
NQ2_Augmentation 3,1.0,1.0
NSA1_Augmentation 1,1.0,1.0
NUMURSF1,1.0,1.0
NYNGAN1,1.0,1.0
OAKEY1,1.3236591821789978,0.32899999998784
OAKEY1SF,1.0,1.0
OAKEY2,1.3236591821789978,0.32899999998784
OAKEY2SF,1.0,1.0
OAKLAND1,1.0,1.0
OsborneGT,1.4206381168450792,0.2890999999893836
OsborneST,1.0,0.21367280909516828
PAREPS1,1.0,1.0
PAREPW1,1.0,1.0
PARSF1,1.0,1.0
PO161-1,1.0,1.0
PO162-2,1.0,1.0
PO163-3,1.0,1.0
PO164-4,1.0,1.0
PO165-5,1.0,1.0
PO166-6,1.0,1.0
POR01-1,1.3236591823376636,0.28099999993761804
POR01-2,1.3236591823376636,0.28099999993761804
POR01-3,1.3236591823418056,0.28099999993780467
PORTWF,1.0,1.0
PPCCGTGT1,1.4768509377156855,0.3308016877496495
PPCCGTGT2,1.4768509377156855,0.3308016877496495
PPCCGTST,1.0,0.23789407316772412
PTSTAN1_1,1.0,0.45600000000608
PTSTAN1_2,1.0,0.45600000000608
PV_NSW_LS,1.0,1.0
PV_QLD_LS,1.0,1.0
PV_SA_LS,1.0,1.0
PV_VIC_LS,1.0,1.0
Q1_Augmentation 1,1.0,1.0
Q1_CST_Far North QLD,1.0,1.0
Q1_SAT_Far North QLD,1.0,1.0
Q1_WH_Far North QLD,1.0,1.0
Q1_WM_Far North QLD,1.0,1.0
Q2_Augmentation 1,1.0,1.0
Q2_Augmentation 2,1.0,1.0
Q2_Augmentation 3,1.0,1.0
Q2_CST_North QLD Clean Energy Hub,1.0,1.0
Q2_SAT_North QLD Clean Energy Hub,1.0,1.0
Q2_WH_North QLD Clean Energy Hub,1.0,1.0
Q2_WM_North QLD Clean Energy Hub,1.0,1.0
Q3_CST_Northern QLD,1.0,1.0
Q3_SAT_Northern QLD,1.0,1.0
Q3_WH_Northern QLD,1.0,1.0
Q3_WM_Northern QLD,1.0,1.0
Q4_CST_Isaac,1.0,1.0
Q4_SAT_Isaac,1.0,1.0
Q4_WH_Isaac,1.0,1.0
Q4_WM_Isaac,1.0,1.0
Q5_Augmentation 1,1.0,1.0
Q5_CST_Barcaldine,1.0,1.0
Q5_SAT_Barcaldine,1.0,1.0
Q5_WH_Barcaldine,1.0,1.0
Q5_WM_Barcaldine,1.0,1.0
Q6_CST_Fitzroy,1.0,1.0
Q6_SAT_Fitzroy,1.0,1.0
Q6_WH_Fitzroy,1.0,1.0
Q6_WM_Fitzroy,1.0,1.0
Q7_CST_Wide Bay,1.0,1.0
Q7_SAT_Wide Bay,1.0,1.0
Q7_WH_Wide Bay,1.0,1.0
Q7_WM_Wide Bay,1.0,1.0
Q8_CST_Darling Downs,1.0,1.0
Q8_SAT_Darling Downs,1.0,1.0
Q8_WH_Darling Downs,1.0,1.0
Q8_WM_Darling Downs,1.0,1.0
Q9_Augmentation 1,1.0,1.0
Q9_CST_Banana,1.0,1.0
Q9_SAT_Banana,1.0,1.0
Q9_WH_Banana,1.0,1.0
Q9_WM_Banana,1.0,1.0
QPS1,1.3236591822168307,0.33599999999490204
QPS2,1.323659182272772,0.33599999999850666
QPS3,1.5994215119129327,0.3513783635278442
QPS4,1.323659182272772,0.33599999999850666
QPS5,1.3236591821460304,0.33599999999034
Quorn Park Solar Farm,1.0,1.0
REECE1,1.0,1.0
REECE2,1.0,1.0
Riverina Solar Farm,1.0,1.0
ROMA_7,1.3236591826783446,0.30300000003345623
ROMA_8,1.3236591826783446,0.30300000003345623
RRSF1,1.0,1.0
RUGBYR1,1.0,1.0
Ryan Corner Wind Farm,1.0,1.0
Rye Park Wind Farm,1.0,1.0
S1-TBMO_Augmentation 1,1.0,1.0
S1-TBMO_Augmentation 2,1.0,1.0
S10_Augmentation 1,1.0,1.0
S10_Augmentation 2,1.0,1.0
S10_Augmentation 3,1.0,1.0
S10_WFL_South East SA Coast,1.0,1.0
S10_WFX_South East SA Coast,1.0,1.0
S1_CST_South East SA,1.0,1.0
S1_SAT_South East SA,1.0,1.0
S1_WH_South East SA,1.0,1.0
S1_WM_South East SA,1.0,1.0
S2_Augmentation 1,1.0,1.0
S2_Augmentation 2,1.0,1.0
S2_CST_Riverland,1.0,1.0
S2_SAT_Riverland,1.0,1.0
S2_WH_Riverland,1.0,1.0
S2_WM_Riverland,1.0,1.0
S3_CST_Mid-North SA,1.0,1.0
S3_SAT_Mid-North SA,1.0,1.0
S3_WH_Mid-North SA,1.0,1.0
S3_WM_Mid-North SA,1.0,1.0
S4_Augmentation 1,1.0,1.0
S4_CST_Yorke Peninsula,1.0,1.0
S4_SAT_Yorke Peninsula,1.0,1.0
S4_WH_Yorke Peninsula,1.0,1.0
S4_WM_Yorke Peninsula,1.0,1.0
S5_CST_Northern SA,1.0,1.0
S5_SAT_Northern SA,1.0,1.0
S5_WH_Northern SA,1.0,1.0
S5_WM_Northern SA,1.0,1.0
S6_Augmentation 1,1.0,1.0
S6_CST_Leigh Creek,1.0,1.0
S6_SAT_Leigh Creek,1.0,1.0
S6_WH_Leigh Creek,1.0,1.0
S6_WM_Leigh Creek,1.0,1.0
S7_Augmentation 1,1.0,1.0
S7_CST_Roxby Downs,1.0,1.0
S7_SAT_Roxby Downs,1.0,1.0
S7_WH_Roxby Downs,1.0,1.0
S7_WM_Roxby Downs,1.0,1.0
S8_Augmentation 1,1.0,1.0
S8_CST_Eastern Eyre Peninsula,1.0,1.0
S8_SAT_Eastern Eyre Peninsula,1.0,1.0
S8_WH_Eastern Eyre Peninsula,1.0,1.0
S8_WM_Eastern Eyre Peninsula,1.0,1.0
S9_Augmentation 1,1.0,1.0
S9_CST_Western Eyre Peninsula,1.0,1.0
S9_SAT_Western Eyre Peninsula,1.0,1.0
S9_WH_Western Eyre Peninsula,1.0,1.0
S9_WM_Western Eyre Peninsula,1.0,1.0
SA Hydrogen Turbine,1.3236591821916572,0.28301886784665364
SALTCRK1,1.0,1.0
SAPHWF1,1.0,1.0
SEBSF1,1.0,1.0
SESA Biomass,2.71356783919598,0.2072542837349525
SESA CCGT,3.7741497909914603,0.4966026027723539
SESA CCGT with CCS,3.7741497909914603,0.4016441879311814
SESA H2 Reciprocating Engine,1.0,0.3076108039750152
SESA OCGT Large,1.3236592434912804,0.3293315522272893
SESA OCGT Small,1.323659513352528,0.3532794708979026
SEVIC1_Augmentation 1,1.0,1.0
SHGEN01,1.0,1.0
SHGEN02,1.0,1.0
SHGEN03,1.0,1.0
SHGEN04,1.0,1.0
SITHE01,1.3236924823044447,0.26300131468924887
SITHE02,1.3235957612971467,0.262997496232514
SITHE03,1.3235957612971467,0.262997496232514
SITHE04,1.3237449029039465,0.2630033840196404
SMCSF1,1.0,1.0
SNAPPER1_1,1.3236591822201,0.35327942498370823
SNAPPER1_2,1.3236591822201,0.35327942498370823
SNAPPER1_3,1.3236591822201,0.35327942498370823
SNAPPER1_4,1.3236591822201,0.35327942498370823
SNAPPER1_5,1.3236591822201,0.35327942498370823
SNO2PH01,1.0,1.0
SNO2PH02,1.0,1.0
SNO2PH03,1.0,1.0
SNO2PH04,1.0,1.0
SNO2PH05,1.0,1.0
SNO2PH06,1.0,1.0
SNOWNTH1,1.0,1.0
SNOWSTH1,1.0,1.0
SNOWTWN1,1.0,1.0
SNSW Biomass,2.71356783919598,0.2072542837349525
SNSW CCGT,3.7741497909914603,0.4966026027723539
SNSW CCGT with CCS,3.7741497909914603,0.4016441879311814
SNSW H2 Reciprocating Engine,1.0,0.3076108039750152
SNSW OCGT Large,1.3236592434912804,0.3293315522272893
SNSW OCGT Small,1.323659513352528,0.3532794708979026
SNUG1,1.323659182272772,0.2679999999513629
SNUG2,1.323659182272772,0.2679999999513629
SNUG3,1.323659182272772,0.2679999999513629
SNW Biomass,2.71356783919598,0.2072542837349525
SNW CCGT,3.7741497909914603,0.4966026027723539
SNW CCGT with CCS,3.7741497909914603,0.4016441879311814
SNW H2 Reciprocating Engine,1.0,0.3076108039750152
SNW OCGT Large,1.3236592434912804,0.3293315522272893
SNW OCGT Small,1.323659513352528,0.3532794708979026
SQ Biomass,2.71356783919598,0.2072542837349525
SQ CCGT,3.7741497909914603,0.4966026027723539
SQ CCGT with CCS,3.7741497909914603,0.4016441879311814
SQ H2 Reciprocating Engine,1.0,0.3076108039750152
SQ OCGT Large,1.3236592434912804,0.3293315522272893
SQ OCGT Small,1.323659513352528,0.3532794708979026
SQ1_Augmentation 1,1.0,1.0
SRSF1,1.0,1.0
STAN-1,5.651491365777081,0.3969999999810322
STAN-2,5.651491365777081,0.3969999999810322
STAN-3,5.651491365777081,0.3969999999810322
STAN-4,5.651491365777081,0.3969999999810322
STARHLWF,1.0,1.0
STOCKYD1,1.0,1.0
Stubbo Solar Farm,1.0,1.0
STWF1,1.0,1.0
SUNRSF1,1.0,1.0
SUNTPSF1,1.0,1.0
SWAN_E,3.774150067395537,0.48400000000445587
SWNSW1_Augmentation 1,1.0,1.0
SWQLD1_Augmentation 1,1.0,1.0
SWQLD1_Augmentation 2,1.0,1.0
SWQLD1_Augmentation 3,1.0,1.0
SWV1_Augmentation 1,1.0,1.0
SWV1_Augmentation 2,1.0,1.0
SWV1_Augmentation 3,1.0,1.0
T1_Augmentation 1,1.0,1.0
T1_CST_North East TAS,1.0,1.0
T1_SAT_North East TAS,1.0,1.0
T1_WH_North East TAS,1.0,1.0
T1_WM_North East TAS,1.0,1.0
T2_Augmentation 1,1.0,1.0
T2_CST_North West TAS,1.0,1.0
T2_SAT_North West TAS,1.0,1.0
T2_WH_North West TAS,1.0,1.0
T2_WM_North West TAS,1.0,1.0
T3 Option 1,1.0,1.0
T3_Augmentation 1,1.0,1.0
T3_CST_Central Highlands,1.0,1.0
T3_SAT_Central Highlands,1.0,1.0
T3_WH_Central Highlands,1.0,1.0
T3_WM_Central Highlands,1.0,1.0
T4_WFL_North West Tasmania Coast,1.0,1.0
T4_WFX_North West Tasmania Coast,1.0,1.0
T5_WFL_North East Tasmania Coast,1.0,1.0
T5_WFX_North East Tasmania Coast,1.0,1.0
TA111-1,1.0,1.0
TA111-2,1.0,1.0
TA111-3,1.0,1.0
TA112-4,1.0,1.0
TA112-5,1.0,1.0
TA112-6,1.0,1.0
Tallawarra B,1.3236591822220753,0.3293312367047989
TALWA1,3.7741500670101416,0.5150000000133627
Tamworth Solar Farm,1.0,1.0
TARALGA1,1.0,1.0
TARONG#1,5.651491365777081,0.39100000001357643
TARONG#2,5.651491365777081,0.39100000001357643
TARONG#3,5.651491365777081,0.39100000001357643
TARONG#4,5.651491365777081,0.39100000001357643
TAS Biomass,2.71356783919598,0.2072542837349525
TAS CCGT,3.7741497909914603,0.4966026027723539
TAS CCGT with CCS,3.7741497909914603,0.4016441879311814
TAS H2 Reciprocating Engine,1.0,0.3076108039750152
TAS OCGT Large,1.3236592434912804,0.3293315522272893
TAS OCGT Small,1.323659513352528,0.3532794708979026
TB2SF1,1.0,1.0
TBSF1,1.0,1.0
Tilbuster Solar Farm,1.0,1.0
TNPS1,5.651491365777081,0.41599999999260445
TORRB1,4.671426764031312,0.33600000000896
TORRB2,4.671426764031312,0.33600000000896
TORRB3,4.671426764031312,0.33600000000896
TORRB4,4.671426764031312,0.33600000000896
TR111-1,1.0,1.0
TR111-2,1.0,1.0
TR112-3,1.0,1.0
TR112-4,1.0,1.0
TRIBUTE,1.0,1.0
TU111-1,1.0,1.0
TU112-2,1.0,1.0
TU113-3,1.0,1.0
TU114-4,1.0,1.0
TU115-5,1.0,1.0
TUMUT1_01,1.0,1.0
TUMUT1_02,1.0,1.0
TUMUT1_03,1.0,1.0
TUMUT1_04,1.0,1.0
TUMUT2_01,1.0,1.0
TUMUT2_02,1.0,1.0
TUMUT2_03,1.0,1.0
TUMUT2_04,1.0,1.0
TUMUT3_01,1.0,1.0
TUMUT3_02,1.0,1.0
TUMUT3_03,1.0,1.0
TUMUT3_04,1.0,1.0
TUMUT3_05,1.0,1.0
TUMUT3_06,1.0,1.0
TVCC201_GT,1.4642395579727128,0.3324999999965365
TVCC201_ST,1.0,0.2419475654771221
TVPP104,1.323659182552477,0.2830000000840596
URANQ11,1.379476135843955,0.326220996040969
URANQ12,1.379476135843955,0.326220996040969
URANQ13,1.379476135843955,0.326220996040969
URANQ14,1.379476135843955,0.326220996040969
Uungula Wind Farm,1.0,1.0
V0_CST_VIC,1.0,1.0
V0_SAT_VIC,1.0,1.0
V0_WH_VIC,1.0,1.0
V0_WM_VIC,1.0,1.0
V1_CST_Ovens Murray,1.0,1.0
V1_SAT_Ovens Murray,1.0,1.0
V1_WH_Ovens Murray,1.0,1.0
V1_WM_Ovens Murray,1.0,1.0
V2_Augmentation 1,1.0,1.0
V2_Augmentation 2,1.0,1.0
V2_Augmentation 3,1.0,1.0
V2_Augmentation 4,1.0,1.0
V2_CST_Murray River,1.0,1.0
V2_SAT_Murray River,1.0,1.0
V2_WH_Murray River,1.0,1.0
V2_WM_Murray River,1.0,1.0
V3-EAST_Augmentation 1,1.0,1.0
V3-EAST_Augmentation 2,1.0,1.0
V3-EAST_Augmentation 3,1.0,1.0
V3-WEST_Augmentation 1,1.0,1.0
V3-WEST_Augmentation 2,1.0,1.0
V3_CST_Western VIC,1.0,1.0
V3_SAT_Western VIC,1.0,1.0
V3_WH_Western VIC,1.0,1.0
V3_WM_Western VIC,1.0,1.0
V4_CST_South West Victoria,1.0,1.0
V4_SAT_South West Victoria,1.0,1.0
V4_WH_South West Victoria,1.0,1.0
V4_WM_South West Victoria,1.0,1.0
V5_CST_Gippsland,1.0,1.0
V5_SAT_Gippsland,1.0,1.0
V5_WH_Gippsland,1.0,1.0
V5_WM_Gippsland,1.0,1.0
V6_Augmentation 1,1.0,1.0
V6_Augmentation 2,1.0,1.0
V6_CST_Central North VIC,1.0,1.0
V6_SAT_Central North VIC,1.0,1.0
V6_WH_Central North VIC,1.0,1.0
V6_WM_Central North VIC,1.0,1.0
V7_WFL_Gippsland Coast,1.0,1.0
V7_WFX_Gippsland Coast,1.0,1.0
V8_WFL_Portland Coast,1.0,1.0
V8_WFX_Portland Coast,1.0,1.0
VIC Biomass,2.71356783919598,0.2072542837349525
VIC CCGT,3.7741497909914603,0.4966026027723539
VIC CCGT with CCS,3.7741497909914603,0.4016441879311814
VIC H2 Reciprocating Engine,1.0,0.3076108039750152
VIC OCGT Large,1.3236592434912804,0.3293315522272893
VIC OCGT Small,1.323659513352528,0.3532794708979026
VP5,5.65149136577708,0.37199999999380007
VP6,5.65149136577708,0.37199999999380007
VPGS1,1.3236591819483137,0.2420000000626511
VPGS2,1.3236591819483137,0.2420000000626511
VPGS3,1.3236591819483137,0.2420000000626511
VPGS4,1.3236591819483137,0.2420000000626511
VPGS5,1.3236591819483137,0.2420000000626511
VPGS6,1.3236591819483137,0.2420000000626511
W/HOE#1,1.0,1.0
W/HOE#2,1.0,1.0
WAGGNSF1,1.0,1.0
Wambo Wind Farm,1.0,1.0
WANDSF1,1.0,1.0
WARWSF1,1.0,1.0
WARWSF2,1.0,1.0
WATERLWF,1.0,1.0
WAUBRAWF,1.0,1.0
WDGPH1,1.0,1.0
WELLSF1,1.0,1.0
WELNSF1,1.0,1.0
WEMENSF1,1.0,1.0
WGWF1,1.0,1.0
WHITSF1,1.0,1.0
WI111-1,1.0,1.0
Wind_NSW_LS,1.0,1.0
Wind_QLD_LS,1.0,1.0
Wind_SA_LS,1.0,1.0
Wind_TAS_LS,1.0,1.0
Wind_VIC_LS,1.0,1.0
WINTSF1,1.0,1.0
WKIEWA1_1,1.0,1.0
WKIEWA1_2,1.0,1.0
WKIEWA2_1,1.0,1.0
WKIEWA2_2,1.0,1.0
WLWLSF1,1.0,1.0
WLWLSF2,1.0,1.0
WOLARSF1,1.0,1.0
WOODLWN1,1.0,1.0
WOOLGSF1,1.0,1.0
WOOLNTH1,1.0,1.0
Woolsthorpe Wind Farm,1.0,1.0
WPWF,1.0,1.0
WRSF1,1.0,1.0
WRWF1,1.0,1.0
WSTWYSF1,1.0,1.0
WUNUSF1,1.0,1.0
WY111-1,1.0,1.0
WY111-2,1.0,1.0
WY111-3,1.0,1.0
WYASF1,1.0,1.0
YABULU,1.3988945159828268,0.31081967213484174
YABULU2,1.0,0.2367745005354379
YAMBUKWF,1.0,1.0
YARANSF1,1.0,1.0
YARWUN_1,3.774150067709563,0.3469999999891188
YATSF1,1.0,1.0
YENDWF1,1.0,1.0
YSWF1,1.0,1.0
YWPS1,4.883247747311308,0.25900000007266394
YWPS2,4.883247747311308,0.25900000007266394
YWPS3,4.883247748068326,0.25900000007479346
YWPS4,4.883247748068326,0.25900000007479346
